US-State|URL|Title|Location|AskPrice|CashFlow|GrossRevenue|EBITDA|FF&E|Inventory|Rent|RealEstate|Established|Inventory-2|RealEstate-2|BuildingSF|LeaseExpiration|Employees|FurnitureFixturesAndEquipment|Facilities|GrowthAndExpansion|Financing|SupportAndTraining|ReasonForSelling
Vermont|https://www.bizbuysell.com//Business-Opportunity/Profitable-Exterior-Property-Maintenance-Business/1758753/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|Profitable Exterior Property Maintenance Business|Huntsville, AL (Madison County)|$200,000|N/A|$308,000|N/A|N/A|N/A|||2018|||||||Home Based|Endless potential!||The franchisor offers a full assortment of training opportunities and 24/7 support covering every facet of day-to-day operation and management.|Personal issues
Vermont|https://www.bizbuysell.com//Business-Opportunity/Top-Ranked-CBD-Wellness-Brand/1762261/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|Top Ranked CBD Wellness Brand|Shelby County, AL (Relocatable)|$400,000|N/A|N/A|N/A|$25,000|$100,000|$1,800 /Month||2019|Included in asking price|Leased|1,250|N/A|2|Included in asking price|Small office footprint, but may be operated as a 100% remote company as all product manufacturing, sales and design is outsourced.  Founders designed the company to be able to function 100% remotely from a home office from onset.|"Significant opportunity exists to dramatically scale up production of its customer products.  New management may use enhanced sales and marketing to:
*Bolster the existing direct to consumer sales channels.  
*Expand B2B wholesale opportunities outside of the wellness niche to big box retailers, gyms, yoga studios, pet stores, conveinet stores, etc..  
*Expand reach through the private labeling of products for other brands."|Open to seller financing with minimum of 50% down.|Receive unparalleled training on all things CBD, Compliance and Sales from an award winning entrepreneur.  Founder will provide 30 Days of training support and would consider ongoing support for a minority stake in the company, as they want to see the brand continue to flourish.|Founders have several businesses and are consolidating their focus.
Vermont|https://www.bizbuysell.com//Business-Opportunity/SERVPRO-Trusted-Franchise-Amazing-Growth/1685166/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|SERVPRO - Trusted Franchise, Amazing Growth|AL|$1,395,000|$475,324|$1,480,398|N/A|$250,000|N/A|||2009|Included in asking price||||20|Included in asking price|15000sqft of leased office/garage/storage space|Area of the state where the population is growing.||Owner willing to train/Franchise training|Relocation
Vermont|https://www.bizbuysell.com//Business-Opportunity/Restoration-Franchise-Large-Territory/1698328/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|Restoration Franchise, Large Territory|AL|$425,000|$173,021|$489,842|N/A|$75,000|N/A|$2,500 /Month||2009|Included in asking price|Leased|3,670|N/A|5|Included in asking price|"Total: 3,670sqft

970sqft is office space and 2700sqft is garage/storage

Sits on 3 acres of land with areas of paved and gravel for vehicle storage."|High growth area of the state.||Available|Relocation
Vermont|https://www.bizbuysell.com//Business-Opportunity/Multi-Unit-Auto-Repair-Business-Birmingham-AL-1m/1747696/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|Multi Unit Auto Repair Business Birmingham, AL $1m|Birmingham, AL (Jefferson County)|$1,023,962|$434,774|$2,047,923|$409,585|N/A|N/A|$6,744 /Month||1984||Leased|4,000|N/A|8||Minimal FF&E.|Significant opportunity for market expansion by partnering with skilled and well capitalized owners.||Multi-prong approached to training and on going support. Training is provided that is focused on helping owners work on their business: virtually, two week in person training class and opening. Marketing and operations support provided consciously to support driving customer traffic and efficient business practices.|Owner is exiting investment.
Vermont|https://www.bizbuysell.com//Business-Opportunity/Cabinet-Door-and-Trim-Manufacturer-w-Online-Store/1750771/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|Cabinet Door & Trim Manufacturer w/Online Store|AL|$550,000|$108,462|N/A|N/A|$350,000|$10,000||$175,000|2009|Included in asking price|Owned|9,200||8|Included in asking price|"9000 sqft commercial woodshop
200 sqft portable building/office
1581 sqft residential home with 3br/1ba and garage
5-acres of mostly wooded property"|Additional cabinet shop customers could be added with increased marketing and sales in new areas. Opportunities to expand wholesale trim orders to new stores, as well as, increased sales if delivery method is expanded to include more shipping.||Negotiable|Burn-out
Vermont|https://www.bizbuysell.com//Business-Opportunity/The-UPS-Store-Florence-Alabama/1727543/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|The UPS Store Florence, Alabama|Florence, AL (Lauderdale County)|$399,000|$130,000|N/A|N/A|N/A|N/A|$2,538 /Month||2009|Included in asking price|Leased|1,600|N/A||||||The UPS Store offers award-winning training programs at The UPS Store University located in San Diego, California. There you’ll experience two weeks of hands-on training at a certified training center that will prepare you for your future ahead.|Retirement
Vermont|https://www.bizbuysell.com//Business-Opportunity/Flowers-Bread-Route-Florence-AL/1760946/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|Flowers Bread Route, Florence, AL|Florence, AL (Lauderdale County)|$57,000|$36,192|$313,872|$36,192|N/A|N/A|||2017|||||||||Company Related Financing ($17k down)! Need more? - BusinessLoansAvailable.com|"Owner and company will train.
Most company routes require the buyer to form some type of entity such as an LLC or Corporation. If you need help with this visit www.HelpMeIncorporate.com"|Owner is pursuing other business opportunities.
Vermont|https://www.bizbuysell.com//Business-Opportunity/Multi-Unit-Business-for-sale-in-HUNTSVILLE-AL-300k/1760879/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|Multi Unit Business for sale in HUNTSVILLE, AL $300k|Huntsville, AL (Madison County)|$321,144|$123,534|N/A|$123,000|N/A|N/A|||1998|||||4||Minimal FF&E|Significant opportunity for market expansion by partnering with skilled and well capitalized owners.||Multi-prong approached to training and on going support. Training is provided that is focused on helping owners work on their business: virtually, two week in person training class and opening. Marketing and operations support provided consciously to support driving customer traffic and efficient business practices.|Owner is exiting investment
Vermont|https://www.bizbuysell.com//Business-Opportunity/29-Year-Old-Construction-Roofing-Specialist/1752273/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|29 Year Old Construction / Roofing Specialist|Mobile County, AL|$750,000|$266,309|$1,520,346|$266,309|N/A|$25,000|||1990|Included in asking price||||3 FT 40 PT||Stand alone building|By adding another sales rep. the company can work with more insurance companies to be on more preferred vendor lists.|No seller financing|4 weeks of training at zero cost|Retirement
Vermont|https://www.bizbuysell.com//Business-Opportunity/ESSENTIAL-BUSINESS-CNC-Machine-Shop-Not-impacted-by-Covid-19-Crisis/1652703/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|ESSENTIAL BUSINESS! CNC Machine Shop. Not impacted by Covid-19 Crisis|AL|$750,000|$93,255|$431,000|N/A|$350,000|$110,000||$210,000|2004|Included in asking price|Owned|6,000|||Included in asking price|||||
Vermont|https://www.bizbuysell.com//Business-Opportunity/Tool-and-Die-Shop-for-Sale/1660108/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|Tool and Die Shop for Sale|Valley Grande, AL (Dallas County) (Relocatable)|$500,000|N/A|N/A|N/A|$100,000|$50,000|||1998|Included in asking price||||3|Included in asking price|||||I will soon be 69 years old and it is time.
Vermont|https://www.bizbuysell.com//Business-Opportunity/Established-Designer-Consignment-Store/1750330/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmJTNmcSUzZGFYSTlNU1p6Y0dsa1BURW1kejF4|Established Designer Consignment Store|Birmingham, AL (Jefferson County) (Relocatable)|$69,900|N/A|$315,000|N/A|N/A|N/A|$5,639 /Month||1992||Leased|4,268|8/31/2022|8||Located at the Vestavia City Center next to Panera, Starbucks, First Watch, Moe's, Planet Fitness and a children's hair salon, Collage has incredible frontage to Highway 31 and is visible from the McDonalds drive through across the street. Collage has over 4268 square feet of better to luxury items, designer showcases, mannequins, point of sale computer registers, office and break areas, expanded lighting, video cameras, displays, racks/shelving and 6 beautifully built out dressing rooms. Store owned inventory includes dresses, jewelry and much more.|Collage is in the perfect position to take advantage of online sales as well as in-store sales. We have fully integrated our software system with Shopify so that it is seamless and easy to load items online and for them to sync when items sell in store or online.||Owner will include 5 hours of training on back room functions and current managers will train on showroom operations and as of this writing, would like to stay on with the new owner.|Owner retiring from the industry after 28 years of success in resale!
